0,0,1,18
1,0,170,3
2,0,375,4
3,0,387,10
4,0,324,16
5,1,249,20
6,1,208,6
7,1,307,4
8,2,1,3
9,2,3,13
10,2,4,7
11,2,5,3
12,3,443,4
13,3,140,11
14,3,299,10
15,3,46,10
16,3,441,7
17,4,8,2
18,4,425,9
19,4,383,16
20,4,222,2
21,4,79,19
22,5,486,5
23,5,458,1
24,5,306,11
25,5,291,14
26,5,258,11
27,6,3,3
28,6,235,20
29,6,36,19
30,6,356,16
31,6,58,13
32,7,3,20
33,7,13,13
34,7,275,6
35,8,10,15
36,8,11,15
37,8,250,1
38,9,5,7
39,9,14,10
40,9,15,13
41,9,426,6
42,10,12,2
43,10,488,10
44,10,31,2
45,10,38,4
46,11,458,17
47,11,35,10
48,11,349,4
49,11,66,10
50,11,396,8
51,12,22,13
52,12,223,20
53,12,490,7
54,12,180,2
55,13,21,12
56,13,274,11
57,13,195,2
58,13,404,9
59,14,18,17
60,14,98,2
61,14,297,4
62,14,270,13
63,14,469,12
64,15,17,8
65,15,24,19
66,15,344,5
67,15,113,10
68,16,12,14
69,16,26,12
70,16,57,12
71,17,196,7
72,17,110,10
73,17,282,8
74,17,481,9
75,17,81,4
76,18,27,16
77,18,49,2
78,18,246,9
79,18,83,20
80,18,21,1
81,19,11,8
82,19,150,1
83,19,461,16
84,19,107,14
85,19,325,5
86,20,10,15
87,20,35,14
88,20,64,17
89,20,490,15
90,21,38,18
91,21,497,15
92,21,108,18
93,21,167,14
94,22,23,12
95,22,144,14
96,22,185,6
97,22,286,8
98,23,40,5
99,23,41,17
100,23,44,1
101,23,94,10
102,23,306,1
103,24,46,4
104,24,375,16
105,24,65,6
106,24,224,15
107,24,90,8
108,25,19,19
109,25,309,16
110,25,214,6
111,25,355,9
112,25,117,8
113,26,51,5
114,26,377,20
115,26,195,19
116,26,46,6
117,27,50,4
118,27,467,20
119,27,424,17
120,28,18,4
121,28,45,3
122,28,55,13
123,28,134,14
124,28,165,9
125,29,25,17
126,29,48,12
127,29,70,10
128,29,43,4
129,30,29,9
130,30,34,3
131,30,47,10
132,30,54,17
133,31,27,2
134,31,396,18
135,31,61,15
136,32,30,15
137,32,40,15
138,32,490,3
139,32,189,13
140,33,29,4
141,33,122,13
142,33,473,5
143,34,42,4
144,34,398,19
145,34,193,20
146,34,325,2
147,34,299,19
148,35,485,4
149,35,345,15
150,35,142,2
151,35,179,7
152,36,25,7
153,36,67,4
154,36,435,19
155,36,343,10
156,37,27,11
157,37,292,14
158,37,338,12
159,38,400,14
160,38,309,19
161,38,275,8
162,39,32,8
163,39,118,8
164,39,432,1
165,39,401,10
166,39,135,12
167,40,58,1
168,40,71,12
169,40,285,18
170,41,433,14
171,41,344,11
172,41,226,2
173,41,376,13
174,41,18,2
175,42,409,15
176,42,453,20
177,42,148,3
178,42,158,20
179,42,314,6
180,43,38,17
181,43,219,6
182,43,112,1
183,44,63,13
184,44,85,1
185,44,65,2
186,45,57,3
187,45,276,1
188,45,351,9
189,45,179,2
190,46,71,13
191,46,75,11
192,46,352,15
193,47,354,13
194,47,224,17
195,47,167,8
196,47,219,12
197,48,122,8
198,48,377,20
199,48,157,4
200,48,8,2
201,48,263,2
202,49,26,17
203,49,350,10
204,49,428,14
205,50,61,19
206,50,180,4
207,50,391,7
208,51,94,20
209,51,408,9
210,51,151,4
211,51,223,12
212,51,296,7
213,52,42,17
214,52,230,20
215,52,166,12
216,53,33,16
